0x80061EC0,applied,motion_helper_80061EC0,motion,<-motion_dispatch_event_handler_80032854
0x80061FAC,applied,disphira_helper_80061FAC,disphira,<-DispHira_helper_800620B8
0x80062020,applied,se_helper_80062020,se,<-se_CalcPitchShift_8005BA8C
0x800676C8,applied,efc_helper_800676C8,efc,->efc_init_phase1_setup_buffer_800678A8;->efc_init_phase2_randomize_80067D14
0x80067704,applied,efc_helper_80067704,efc,->efc_init_phase1_setup_buffer_800678A8;->efc_init_phase2_randomize_80067D14
0x80067740,applied,efc_helper_80067740,efc,->efc_init_phase1_setup_buffer_800678A8;->efc_init_phase2_randomize_80067D14
0x8006777C,applied,efc_helper_8006777C,efc,->efc_init_phase1_setup_buffer_800678A8;->efc_init_phase2_randomize_80067D14
0x800677B8,applied,efc_helper_800677B8,efc,->efc_init_phase1_setup_buffer_800678A8;->efc_init_phase2_randomize_80067D14
0x800677F4,applied,efc_helper_800677F4,efc,->efc_init_phase1_setup_buffer_800678A8;->efc_init_phase2_randomize_80067D14
0x80067830,applied,efc_helper_80067830,efc,->efc_init_phase1_setup_buffer_800678A8;->efc_init_phase2_randomize_80067D14
0x8006786C,applied,efc_helper_8006786C,efc,->efc_init_phase1_setup_buffer_800678A8;->efc_init_phase2_randomize_80067D14
0x80068ECC,applied,mode_helper_80068ECC,mode,<-mode_handler_09_NoOp
0x8006A880,applied,satan_helper_8006A880,satan,->saTan3GaugeMain_8006A564;->satan_sprite_batch_render_8007352C
0x8006BD28,applied,motion_helper_8006BD28,motion,<-motion_draw_tilemap_8006BEC4
0x8006C168,applied,satan_helper_8006C168,satan,<-saTan2InfoInit_8006C1FC
0x8006D74C,applied,satan_helper_8006D74C,satan,<-saTanMainDispGnd_80077A04
0x8006D7FC,applied,replay_camera_helper_8006D7FC,replay_camera,<-replay_camera_init_framebuffer_80077A28
0x8006D808,applied,hud_helper_8006D808,hud,<-hud_emit_warning_tiles_80060768
0x8006E068,applied,satan_helper_8006E068,satan,<-saTan2InfoInit_80077A60
0x8006E10C,applied,gpu_helper_8006E10C,gpu,->gpu_LoadImage;->gpu_DrawSync;->gpu_SetDispMask
0x8006E2A8,applied,gpu_helper_8006E2A8,gpu,->gpu_DrawSync;->gpu_SetDispMask;->gpu_draw_color_prim_8007B4D0
0x8006ECF4,applied,gpu_helper_8006ECF4,gpu,->gpu_LoadImage;->gpu_DrawSync
0x8006F97C,applied,satan_helper_8006F97C,satan,->saTan3GaugeMain_80073200;->satan_sprite_batch_render_8007352C
0x80070C70,applied,satan_helper_80070C70,satan,->saTan3GaugeMain_80073200;->satan_sprite_batch_render_8007352C
0x800720FC,applied,satan_helper_800720FC,satan,->saTan3GaugeMain_80073200;->satan_sprite_batch_render_8007352C
0x80072F30,applied,hud_helper_80072F30,hud,<-hud_layout_emit_tiles_80073060
0x80072FCC,applied,hud_helper_80072FCC,hud,<-hud_layout_emit_tiles_80073060
0x80073728,applied,gnd_helper_80073728,gnd,<-gnd_draw_texpage_2poly_8005D46C;<-gnd_render_affine_texpage_8005E54C;<-gnd_land_hit_char_tsuba
0x80077098,applied,setup_helper_80077098,setup,<-setup_double_buffer_swap_80077724
0x800770B8,applied,replay_camera_helper_800770B8,replay_camera,<-replay_camera_apply_transform_and_flip_80077A80
0x80077374,applied,setup_helper_80077374,setup,<-setup_double_buffer_swap_80077724
0x80077894,applied,mode_helper_80077894,mode,<-mode_handler_09_NoOp
0x80077904,applied,mode_helper_80077904,mode,<-mode_handler_09_NoOp
0x800779C8,applied,mode_helper_800779C8,mode,<-mode_handler_09_NoOp
0x80077AE0,applied,replay_camera_helper_80077AE0,replay_camera,<-replay_camera_wait_for_playback_8003ACB8
0x80077B00,applied,replay_camera_helper_80077B00,replay_camera,<-replay_camera_wait_for_playback_8003ACB8
0x80077B30,applied,mode_helper_80077B30,mode,<-mode_handler_09_NoOp
0x80077D94,applied,gpu_helper_80077D94,gpu,->gpu_LoadImage;->gpu_DrawSync
0x8007855C,applied,mode_helper_8007855C,mode,<-mode_handler_09_NoOp
0x80078628,applied,disp_helper_80078628,disp,<-disp_init_video_overlay_80078824
0x8007C4B8,applied,gpu_helper_8007C4B8,gpu,<-gpu_copy_draw_packet_8007B9B0;<-gpu_DrawOTagEnv
0x8007C748,applied,inittexpage_helper_8007C748,inittexpage,<-initTexPage_8007C248
0x8007C7A0,applied,initdrawarea_helper_8007C7A0,initdrawarea,<-initDrawArea_8007C154
0x8007C86C,applied,initdrawarea_helper_8007C86C,initdrawarea,<-initDrawArea_8007C154
0x8007C938,applied,initdrawoffset_helper_8007C938,initdrawoffset,<-initDrawOffset_8007C1D8
0x8007CA00,applied,cpu_helper_8007CA00,cpu,<-cpu_copy_display_buffer_and_sync_8007BC08
0x8007CAC8,applied,gpu_helper_8007CAC8,gpu,->gpu_DrawTimeoutCheck;->gpu_vcount_init_8007DC68
0x8007CE0C,applied,gpu_helper_8007CE0C,gpu,->gpu_DrawTimeoutCheck;->gpu_vcount_init_8007DC68
0x8007D048,applied,gpu_helper_8007D048,gpu,->gpu_DrawTimeoutCheck;->gpu_vcount_init_8007DC68
0x8007D3F8,applied,gpu_helper_8007D3F8,gpu,->gpu_vcount_init_8007DC68;->gpu_DrawTimeoutCheck
0x8007D9C4,applied,gpu_helper_8007D9C4,gpu,<-gpu_SetMode_8007AE7C
0x8007DB20,applied,gpu_helper_8007DB20,gpu,->gpu_DrawTimeoutCheck;->gpu_vcount_init_8007DC68
0x8007E43C,applied,math_helper_8007E43C,math,<-math_Distance3D_80017748;<-math_Distance3D_16_800177C8
0x8007FBBC,applied,md_game_helper_8007FBBC,md_game,<-md_game_rob_anim_offset_8002F770
0x800826CC,applied,special_camera_helper_800826CC,special_camera,<-special_camera_load_cdrom_wait_800372F4
0x800859F0,applied,tslglobalmemfree_helper_800859F0,tslglobalmemfree,<-tslGlobalMemFree_8005C2A8
0x80085FB8,applied,mario_helper_80085FB8,mario,<-mario_getMarioVoiceData_8005BE84
0x80087770,applied,dispstuff_helper_80087770,dispstuff,<-DispStuff_helper_800841E0;<-DispStuff_helper_80084500
